,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,os,Cpu name,Gpu name,Size,HDD,SSD
0,Apple,Ultrabook,8,1.37,11.175754549129524,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,128
1,Apple,Ultrabook,8,1.34,10.77677731765335,0,0,Mac,Intel Core i5,Intel,127.67794013309688,0,0
2,HP,Notebook,8,1.86,10.329931067029484,0,0,other/Linux/No OS,Intel Core i5,Intel,141.21199808219862,0,256
3,Apple,Ultrabook,16,1.83,11.814475944954545,0,1,Mac,Intel Core i7,AMD,220.53462386625827,0,512
4,Apple,Ultrabook,8,1.37,11.473100972779063,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,256
5,Acer,Notebook,4,2.1,9.967025573340116,0,0,windows,other/AMD,AMD,100.45466986113651,500,0
6,Apple,Ultrabook,16,2.04,11.64410811545818,0,1,other/Linux/No OS,Intel Core i7,Intel,220.53462386625827,0,0
7,Apple,Ultrabook,8,1.34,11.03061499223515,0,0,Mac,Intel Core i5,Intel,127.67794013309688,0,0
8,Asus,Ultrabook,16,1.3,11.285442512056921,0,0,windows,Intel Core i7,Nvidia,157.3505121487356,0,512
9,Acer,Ultrabook,8,1.6,10.621951541079863,0,1,windows,Intel Core i5,Intel,157.3505121487356,0,256
10,HP,Notebook,4,1.86,9.951658096208995,0,0,other/Linux/No OS,Intel Core i5,Intel,100.45466986113651,500,0
11,HP,Notebook,4,1.86,9.819076457336159,0,0,other/Linux/No OS,Intel Core i3,Intel,141.21199808219862,500,0
12,Apple,Ultrabook,16,1.83,11.775302049361828,0,1,Mac,Intel Core i7,AMD,220.53462386625827,0,256
13,Dell,Notebook,4,2.2,10.187966701099125,0,0,windows,Intel Core i3,AMD,141.21199808219862,0,256
14,Apple,Ultrabook,8,0.92,11.116330976323743,0,1,Mac,other Intel processor,Intel,226.41554716935852,0,256
15,Apple,Ultrabook,8,1.37,11.301072237406668,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,256
16,Dell,Notebook,8,2.2,10.588945244611693,0,0,windows,Intel Core i7,AMD,141.21199808219862,0,256
17,Apple,Ultrabook,16,1.83,11.933438384721946,0,1,Mac,Intel Core i7,AMD,220.53462386625827,0,512
18,Lenovo,Notebook,8,2.2,10.188167121983652,0,0,other/Linux/No OS,Intel Core i3,Nvidia,141.21199808219862,1000,0
19,Dell,Ultrabook,8,1.22,10.862092668762644,1,1,windows,Intel Core i5,Intel,165.6321180513006,0,128
20,Asus,Netbook,2,0.98,9.232535429245788,0,0,windows,other Intel processor,Intel,135.0942111925629,0,0
21,Lenovo,Gaming,8,2.5,10.882315804880687,0,1,windows,Intel Core i5,Nvidia,141.21199808219862,1000,128
22,HP,Notebook,4,1.86,9.528520611153752,0,0,other/Linux/No OS,other/AMD,AMD,100.45466986113651,500,0
23,Dell,2 in 1 Convertible,8,1.62,10.683645110085203,1,0,windows,Intel Core i5,Intel,165.6321180513006,0,256
24,HP,Ultrabook,8,1.91,10.46628456073464,0,0,windows,Intel Core i7,Intel,141.21199808219862,0,256
25,Dell,Notebook,4,2.3,10.012572388296086,0,0,windows,Intel Core i3,Intel,100.45466986113651,1000,0
26,Apple,Ultrabook,8,1.35,10.977716980635755,0,0,other/Linux/No OS,Intel Core i5,Intel,127.67794013309688,0,0
27,Dell,Notebook,8,2.2,10.660172753900062,0,0,windows,Intel Core i5,AMD,141.21199808219862,0,256
28,Dell,Ultrabook,8,1.88,11.144140923496169,0,0,windows,Intel Core i7,Intel,141.21199808219862,0,512
29,HP,Notebook,8,2.5,10.773501439207065,0,0,windows,Intel Core i5,Nvidia,127.33567457123111,1000,0
30,Chuwi,Notebook,4,1.89,9.476778419617322,0,0,windows,other Intel processor,Intel,141.21199808219862,0,0
31,Asus,Notebook,2,1.65,9.268865850956626,0,0,windows,other/AMD,AMD,111.93520355955211,0,0
32,HP,Notebook,4,2.71,10.060060439307305,0,0,windows,other/AMD,AMD,127.33567457123111,500,0
33,Dell,Ultrabook,16,1.2,11.508719833687696,1,0,windows,Intel Core i7,Intel,276.053530085501,0,512
34,Apple,Ultrabook,8,1.35,10.881314302543597,0,0,other/Linux/No OS,Intel Core i5,Intel,127.67794013309688,0,0
35,Lenovo,Notebook,4,1.44,9.493013922696841,0,0,windows,other Intel processor,Intel,111.93520355955211,0,0
36,Acer,Notebook,4,2.1,9.880922874286703,0,0,other/Linux/No OS,Intel Core i3,Intel,100.45466986113651,1000,0
37,Dell,Notebook,8,2.8,10.862092668762644,0,1,windows,Intel Core i5,AMD,127.33567457123111,1000,128
38,HP,Notebook,4,1.86,10.167289367847482,0,0,windows,Intel Core i5,Intel,100.45466986113651,1000,0
39,HP,Notebook,8,2.1,10.754345923917311,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
40,Asus,Notebook,4,2.0,9.93914036985058,0,0,other/Linux/No OS,Intel Core i3,Intel,141.21199808219862,1000,0
41,Dell,Gaming,16,2.65,11.288114524334732,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,256
42,Asus,Notebook,8,2.3,10.235123369655367,0,0,other/Linux/No OS,Intel Core i5,Nvidia,100.45466986113651,1000,0
43,Acer,Notebook,4,2.2,10.500590684075595,0,1,windows,Intel Core i5,Intel,141.21199808219862,0,256
44,Dell,2 in 1 Convertible,12,2.77,10.882315804880687,1,0,windows,Intel Core i5,Nvidia,127.33567457123111,1000,0
45,Apple,Ultrabook,8,1.37,11.233268703392175,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,256
46,Lenovo,Notebook,4,2.2,9.88635767027266,0,0,other/Linux/No OS,Intel Core i3,Intel,100.45466986113651,0,128
47,Asus,Gaming,8,3.2,11.144911042902732,0,0,windows,other/AMD,AMD,127.33567457123111,1000,256
48,Dell,Notebook,4,2.3,10.435465480609668,0,0,windows,Intel Core i5,AMD,141.21199808219862,0,256
49,Asus,Notebook,4,2.8,10.11974666035778,0,0,windows,other Intel processor,Nvidia,90.58340172449303,1000,0
50,Lenovo,2 in 1 Convertible,4,0.69,9.740752129016979,1,1,other/Linux/No OS,other Intel processor,Intel,224.17380907857276,0,0
51,Acer,Notebook,8,2.2,10.710152686205081,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
52,HP,Notebook,4,1.86,9.963243430044656,0,0,windows,other/AMD,AMD,141.21199808219862,0,256
53,HP,Notebook,8,1.49,10.981350045485636,0,0,windows,Intel Core i7,Intel,165.6321180513006,0,512
54,Acer,Notebook,4,2.4,9.92620357881986,0,0,windows,Intel Core i3,Intel,100.45466986113651,1000,0
55,Dell,Notebook,8,2.13,10.619090308798832,0,0,windows,Intel Core i7,AMD,141.21199808219862,0,256
56,HP,Notebook,4,1.91,10.060060439307305,0,0,windows,Intel Core i3,Intel,141.21199808219862,0,128
57,Asus,Notebook,4,2.0,10.349204995339194,0,0,windows,Intel Core i5,Intel,100.45466986113651,0,256
58,MSI,Gaming,16,2.43,11.778996083184301,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,2000,256
59,Asus,Notebook,4,2.0,10.003839546462832,0,0,other/Linux/No OS,Intel Core i3,Intel,141.21199808219862,0,256
60,Dell,Notebook,16,2.8,11.144911042902732,0,0,windows,Intel Core i7,AMD,127.33567457123111,2000,256
